text,label
"Made me wish my own happy birds could talk. Tisk tisk on the reviewer who dissed the movie. A sweet story that people of all ages will enjoy. Paulie is a lovable little treasure. He has quite a few clever lines that truly made me laugh. I especially loved the dance sequences during his showbiz stint. You can forgive the obvious clichés as you cheer him on in his quest to be reunited with Marie. A charming movie featuring two strong characters who genuinely befriend the little parrot separated from his young owner. Would have liked to have seen more of the woman who becomes blind and must abandon their mutual journey. I liked her artistic and poetic inspirations, a shame she could not share Paulie's reunion. Bless Paulie in his new home, at last with Marie, perhaps joined by the nice young man who helped him defeat the antagonists to complete his journey.",1
"I have read all of the Love Come Softly books. Knowing full well that movies can not use all aspects of the book,but generally they at least have the main point of the book. I was highly disappointed in this movie. The only thing that they have in this movie that is in the book is that Missy's father comes to visit,(although in the book both parents come). That is all. The story line was so twisted and far fetch and yes, sad, from the book, that I just couldn't enjoy it. Even if I didn't read the book it was too sad. I do know that Pioneer life was rough,but the whole movie was a downer. The rating is for having the same family orientation of the film that makes them great.",0
"I saw this recently and I must say, I was moved by the factual basis of the story. However, ""Holly"" as a movie did not quite work. I am however, looking forward to watching the documentary which the producers who organised this project had made because I think that would be a much more compelling work than this film.<br /><br />The international cast was composed of B-class actors but their acting was appropriate, and I must give a special mention for the young actress who played Holly. This was her first movie role and she did a very nice job, considering hers is the most challenging part. <br /><br />Ron Livingston was adequate but bland as Patrick, the American whose quest is to ""save"" Holly, but Chris Penn was good in this, his final role. Unfortunately, despite my mostly favourable opinion of Virginie Ledoyen and Udo Kier, both of these actors were very much forgettable and did not do their best work in this film.<br /><br />I believe in the film's message and intention, but I have to be fair, so I rate ""Holly"" 3 stars based on its shortcomings as a movie. But I think the subject matter deserves serious consideration and I am pleased that the people behind this movie have made a documentary as well which I hope will have its debut on BBC and other TV networks.",0
"Okay... it seems like so far, only the Barman fans have commented on this film - time for a counterpoint. Beware, this writeup is *LONG*.<br /><br />For those not in the knowing (mostly the non-Belgians) : Tom Barman, director of this film, is the frontman of dEUS, one of the better known rock bands of the late 90's here in Belgium. Basically, they made a couple of very adventurous and innovative albums and quickly rose to fame on the national scale. Then, egos started hurting and the band basically fell apart, with Barman and a couple of others remaining to go on making albums under the dEUS-monicker. The way it always happens in such cases, the post-breakdown dEUS was a lot tamer and less interesting than the original. They tried to go for an international breakthrough with their album ""The Ideal Crash"" in 1999, presenting a much diluted form of their earlier style of songwriting. They didn't quite make it. However, egos were still pretty big it seems : big enough for Barman to consider himself enough of an artist to try on movies.<br /><br />More often than not this sort of thing is a VERY big mistake, and this film does not make the exception. And Barman clearly went for *art* on this one, another very big mistake. For one thing, he's a musician, not a movie director. For another, dEUS at it's best made fun and provoking music, but never anything close to what I would consider *art*. It shows.<br /><br />So, what's this movie about? Basically, it tells the story of a bunch of completely uninteresting people, doing equally uninteresting things over the course of a totally uninteresting friday in Antwerp, as even more uninteresting stuff happens to them in the act of being uninteresting. The characters are shallow, the plot totally pointless and the film just doesn't have any other redeeming qualities to make up for these shortcomings. Humor? The whole film made me smile (slightly) about 3 times, and actually managed to provoke a single 5-second laugh (not quite loud). Mood? The film just doesn't seem to show any kind of emotion or feeling at all. Mystery? Well, (*MINOR SPOILER*)the idea of the ""wind-man"", inspiring the name of the film, is as enthralling as a banana pepper pizza - not very, and has been done a thousand times before (anyone remember Johny Destiny - one of Tarantino's worst appearances on film to date)(*END MINOR SPOILER*). And well, its *artistic*, so don't expect any kind of real action to make up for all the previous. In other words, except for the few smiles, it bored me out of my shorts.<br /><br />So what remains? Well, the soundtrack is pretty good, though it suffers from some of the same problems that other OST's have shown lately : first, it makes the movie seem like nothing more than a commercial for the CD. Second, it gives the impression that Barman is trying to hide the weaknesses and lack of emotional content in the film behind the content quality of the songs, which simply doesn't work. In the end, it makes the film look like nothing more than an illustration to the songs. And sadly, it's Barmans own contribution to the soundtrack which gets the most attention, though it is the weakest part of the whole soundtrack as far as I'm concerned. All in all, it just stands to show that Barman knows more about music than movies. Camera work is okay as well, though not anything that would make you scream out with joy.<br /><br />The only thing about this movie that kept me watching was the sight-seeing factor. Since I originate from Antwerp, it was fun to play a kind of ""guess-the-location"" game. I would hardly consider this as a quality though.<br /><br />All in all, another chance lost for Flemmish film. I keep on noticing that lately, the best Belgian movies have been coming from the French part of the country. This is mostly because at least, they have something to tell and manage to tell it in way that is both sharp and emotional (the brothers Daerden come to mind). Maybe the Flemmish art-house filmmakers should try that too.",0
"I watched this with my whole family as a 9 year old in 1964 on our black and white TV. I remember my father remarking that ""this is how it could have happened - Adam and Eve."" I vividly remember the scene when Adam finds Eve, her eyes were blackened. I asked my father why were her eyes blackened and he told because she was tired and hungry. Having not seen this episode in 45 years, I still remember it vividly - the TV transmissions back and forth with the home planet, scenes of bombs shaking the headquarters, with the final scene of the two walking off, Adam carrying his pack and Eve following. It may not have been a theatrical work of art, but it certainly left an impression on me all these years.",1
"THE JIST: See something else.<br /><br />This film was highly rated by Gene Siskel, but after watching it I can't figure out why. The film is definitely original and different. It even has interesting dialogue at times, some cool moments, and a creepy ""noir"" feel. But it just isn't entertaining. It also doesn't make a whole lot of sense, in plot but especially in character motivations. I don't know anyone that behaves like these characters do.<br /><br />This is a difficult movie to take on -- I suggest you don't accept the challenge.",1
"I wish kids movies were still made this way; dark and deep. There was (get this) character development (and Charlie is the epitome of the dynamic character), plot development, superb animation, emotional involvement, and a rational, relatable, and consistent theme. If not for the handful of song-and-dance routines, you would never have thought this was a kids movie, and this is why I give it such a high rating. This movie is an excellent film, let alone for a kids' movie. Which brings me to my second point: this has got to be the darkest ""kids'"" movie I've seen in quite some time, this coming from a 22-year-old. I'd be shocked to see any child under the age of 8 not completely terrified throughout a great deal of the latter half and some of the first half of the movie, and it all ends with one of the saddest endings you could ever come across (ala ""Jurassic Bark"", for those of you who are 'Futurama' fans), and this is what makes this movie so good. Just because the movie universally evokes emotions we don't normally like to feel and assume are bad does not make the movie itself bad; in fact, it means it succeeded. Good funny movies are supposed to make us laugh; good horror movies are supposed to make us scared; good sad movies are supposed to make us sad. My point is, good movies are supposed to MOVE you, not simply entertain; this movie moved me.<br /><br />Also, this movie is incredibly violent by today's standards for a kids' movie and contains subject matter that, by today's standards, may not be suitable for some children. Parents, I'd say watch it first. I'm not usually one to say anything about this kind of thing, but I just saw this yesterday and it came as a surprise even to me.",1
"After watching this film, I was left with a two very annoyances about this film: why did they make Chen's character this ""McGuyver hit-man"" and Lee's character such an incompetent idiot? Chen's character's background is that he was raised in an underground Cambodian orphanage for blood thirsty fighter where they learn to brawl it out to the death like wild ""dogs."" This detail is pushed early on during a scene where he gets into a cab and as it starts to drive, he shows how he is unfamiliar with a seat belt. Soon after this scene, he has a similar situation at a dim sum restaurant. Not only is he uneducated, he is starving. This is not a reference to Chen's scrawny physique but to the two early scenes in the film where he is scarfing down food, one of which, being rice porridge off the floor of the lower deck on an old ship. Si in the first ten minutes of the film, it is established that Chen is malnutrition-ed, unmodernized,and has only thing going for him, his ""dog"" brawling fighting style of some sort. Despite this situation, Chen manages to out-shoot every policeman (even managing to ricochet a bullet off a metal pipe to hit a guy in a head, whom was holding Chen's girlfriend hostage) and has somehow attained a super human strength (swings a 50 lb block of concrete, plastered on the end of a metal pipe, to the head of the police chief AS he is getting shot in the chest, by said chief).<br /><br />Now Lee's character...okay, I get it, he's depressed, he's got some baggage, but wow, can he do anything right? One moment, they try to make him cool, composed and ready to take care of business, and the next moment, he just got beat again. First scene he runs into Chen, and he manages to misses him, from approx 15 ft, multiple times. Toward the end of that scene, Lee watches Chen as his close friend and coworker gets slowly stabbed in the neck with a long knife for a good full 5 seconds, while holding a gun to Chen face, at a 10 ft distance. Even at the end of the movie, Lee manages to get stabbed to death and fails once again.<br /><br />And my biggest problem with this movie is that it is presented in a manner that film makers are trying to get the audience to sympathize with Chen's character and that he is just ""killing to survive."" That would be a lot easier if I didn't just watch Chen kill innocent people throughout the whole awful movie. Of the numerous people he killed, only two people had the intention of trying to kill him, the police chief and Lee. Others were just people who were eating, boat owners, taxi drivers, and policemen trying to arrest him, not kill. Overall, Chen's character is a just a cold blooded killer who kills for what he wants, even if its just a free ride. (Did I mention he is carrying a wad of hundred dollar bills throughout most of the film?) My 3 stars go to some of the interesting director/camera work who got in some nice shots.<br /><br />Bottomline: One made for the nut-hugging Chen fans. For me, ""Dog Bite This DVD""",0
"I'm not a huge Freddy Krueger fan,but that doesn't mean that I don't like Robert Englund and his other Nightmare on Elm Street movies.I think that Robert is a very good actor.Nobody plays a better Freddy Krueger than he does.But,no offense Robert, this movie sucked.The acting is terrible,the plot is really weak,and Freddy Krueger is the only part of the cast that's even worth watching.Sometimes sequels can be better than the first,such as the Friday the 13th franchise(I thought the remake was the best in the series.)But this isn't one of those movies.The original was good,the 2nd in my opinion was better,the 3rd was okay but I haven,t seen the others.Whatever you do,don,t make the same mistake I did by watching this piece of crap.",0
"I watch a lot of films, good, bad and indifferent; there is usually something of interest to fixate upon, even if it is only set design, or the reliable labor of a good character actor, or the fortuitous laughter that emerges from watching ineptitude captured forever.<br /><br />However, I was quite pleasantly surprised by this film, one I had never seen before. Graham Greene has been translated into film many times of course, in such masterpieces as ""Thin Man"" and in lesser vehicles. ""Confidential Agent"" is one of those lesser vehicles, yet it manages to get me somewhere anyway, despite lackluster direction, the incongruity of Bacall and Boyer's depictions as (respectively) British and Spanish, and the almost complete non-existence of any chemistry between the two leads. In some ways, this last ""problem"" actually begins to work in the film's favor, for how can love really blossom in the killing atmosphere of fascism and capitalism meeting about one person's tragedy? The most compelling aspect of the film arises directly from Greene's complex and guilt-ridden psychology, which pervades the film. I know some see the deliberate pacing here as dull, and I can understand that. Yet I found that plodding accentuated rather than detracted from what is a claustrophobic world. I was compelled to watch, not by any great acting (although Boyer is marvelous as usual, managing to convey a rich mixture of world-weariness, tragedy, hope, and fervor with his magnificent voice and yearning eyes), but by the down-spiraling rush of one man's slim hopes against a world of oppression and money. What is a thief? What good is love in the face of death? Where does mere profit-taking end and exploitation begin? The film does not rise to the level of art, and thus cannot hope to answer such questions, but it is much more than mere entertainment, and its murders and guilts are very grimly drawn. The lack of glitz, of ""bubble,"" of narrative ""bounce"" help to make this movie very worthwhile.<br /><br />And there is no happy ending, for history wrote the ending.",1
